City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Aswan,EG,24.0934,32.907,85.3,23,0,11.5,clear sky
262,Cidreira,BR,-30.1811,-50.2056,72.82,73,80,9.37,moderate rain
263,Chicama,PE,-7.8447,-79.1469,61.34,61,56,11.03,broken clouds
264,Darlowo,PL,54.421,16.4107,49.95,65,9,11.72,clear sky
265,Conde,BR,-7.2597,-34.9075,85.46,66,40,11.5,scattered clouds
266,Brae,GB,60.3964,-1.353,51.71,90,100,23.04,overcast clouds
267,Kauhajoki,FI,62.4333,22.1833,30.29,94,49,4.76,scattered clouds
268,Galyugayevskaya,RU,43.6969,44.9344,47.34,48,0,3.02,clear sky
269,Carahue,CL,-38.7,-73.1667,53.8,65,100,3.29,overcast clouds
270,Kuopio,FI,62.8924,27.677,30.15,86,0,10.36,clear sky
271,Honningsvag,NO,70.9821,25.9704,38.84,53,100,24.32,overcast clouds
272,Neuquen,AR,-38.9516,-68.0591,69.69,24,0,16.11,clear sky
273,Kalmunai,LK,7.4167,81.8167,79.5,80,45,4.45,scattered clouds
274,Rogovskaya,RU,45.7312,38.7396,57.16,83,100,7.25,overcast clouds
275,Kulhudhuffushi,MV,6.6221,73.07,81.32,79,100,15.21,moderate rain
276,Abha,SA,18.2164,42.5053,66.02,59,0,2.3,clear sky
277,Timra,SE,62.487,17.3257,29.68,80,40,3.44,scattered clouds
278,Qaqortoq,GL,60.7167,-46.0333,37.9,75,61,6.87,broken clouds
279,Yambio,SS,4.5721,28.3955,73.56,81,88,2.95,overcast clouds
280,Laerdalsoyri,NO,61.098,7.4816,43.43,86,98,5.82,overcast clouds
281,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,38,20,32.21,few clouds
282,Blagoyevo,RU,63.3667,47.9167,23.88,97,26,3.2,scattered clouds
283,Buraydah,SA,26.326,43.975,84.65,15,0,6.87,clear sky
284,Santa Rosa,PH,14.3122,121.1114,80.91,74,100,11.88,overcast clouds
285,Zaysan,KZ,47.4667,84.8667,33.42,48,0,5.37,clear sky
286,Rio Gallegos,AR,-51.6226,-69.2181,53.65,26,75,44.87,broken clouds
287,Vagur,FO,61.4732,-6.8119,50.2,97,100,26.19,overcast clouds
288,The Valley,AI,18.217,-63.0578,87.66,65,20,14.97,few clouds
289,Dungarpur,IN,23.8333,73.7167,72.59,57,0,5.26,clear sky
290,Maksatikha,RU,57.797,35.8825,40.46,86,91,7.11,overcast clouds
291,Tadpatri,IN,14.9167,78.0167,74.75,86,100,5.21,moderate rain
292,Benicarlo,ES,40.4165,0.4271,63.55,57,1,5.91,clear sky
293,Barcelos,PT,41.5388,-8.6151,65.84,70,100,3.36,overcast clouds
294,Clarence Town,AU,-32.5833,151.7833,65.8,97,28,5.41,scattered clouds
295,San Cristobal,VE,7.7669,-72.225,80.78,58,83,5.12,broken clouds
296,Mabaruma,GY,8.2,-59.7833,77.99,95,97,5.48,overcast clouds
297,Jos,NG,9.9167,8.9,67.66,80,40,1.48,scattered clouds
298,Camacha,PT,33.0833,-16.3333,69.53,64,40,11.5,scattered clouds
299,Birjand,IR,32.8663,59.2211,54.07,9,0,6.91,clear sky
300,San Benito Abad,CO,8.929,-75.0271,86.83,66,83,7.11,broken clouds
301,Benguela,AO,-12.5763,13.4055,75.22,73,59,3.58,broken clouds
302,Natal,BR,-5.795,-35.2094,88.45,66,40,13.8,scattered clouds
303,Bud,US,39.447,-86.1758,59.13,71,68,4.36,broken clouds
304,Isla Mujeres,MX,21.2311,-86.731,87.85,79,99,8.59,overcast clouds
305,Mezen,RU,65.8522,44.24,27.32,91,87,2.68,overcast clouds
306,Ihosy,MG,-22.4,46.1167,74.59,23,0,7.83,clear sky
307,Noyabrsk,RU,63.1994,75.4507,36.01,92,100,15.97,overcast clouds
308,Morondava,MG,-20.2833,44.2833,73.8,71,0,8.01,clear sky
309,Soltsy,RU,58.1239,30.3238,38.46,97,100,7.9,overcast clouds
310,Yendi,GH,9.4427,-0.0099,81.1,70,100,6.31,overcast clouds
311,Touros,BR,-5.1989,-35.4608,88.7,57,29,12.71,scattered clouds
312,Yamoussoukro,CI,6.8206,-5.2767,75.51,92,88,3.98,light rain
313,Maragogi,BR,-9.0122,-35.2225,82.8,69,76,12.26,broken clouds
314,Sao Filipe,CV,14.8961,-24.4956,80.26,67,0,4.23,clear sky
315,Ponta Do Sol,PT,32.6667,-17.1,73.0,69,26,3.6,scattered clouds
316,Ballina,AU,-28.8667,153.5667,71.78,94,7,6.91,clear sky
317,San Ignacio,BZ,17.1561,-89.0714,87.94,66,40,6.91,scattered clouds
318,Reshetylivka,UA,49.565,34.0782,45.09,54,13,7.16,few clouds
319,Tukrah,LY,32.5341,20.5791,76.75,46,3,8.7,clear sky
320,Srivardhan,IN,18.0333,73.0167,76.46,82,22,7.58,few clouds
321,Wlodawa,PL,51.55,23.55,44.91,80,76,10.74,broken clouds
322,Cap-Aux-Meules,CA,47.3821,-61.8597,57.25,94,90,5.75,overcast clouds
323,Iralaya,HN,15.0,-83.2333,86.09,81,47,8.08,scattered clouds
324,Bereda,ES,43.2686,-7.5406,58.14,79,100,2.26,overcast clouds
325,Astana,KZ,51.1801,71.446,49.95,76,75,24.61,light rain
326,Papagaios,BR,-19.4492,-44.7478,88.54,29,18,6.98,few clouds
327,Bolkhov,RU,53.4433,36.0044,39.67,79,37,13.0,scattered clouds
328,Kita,ML,13.0349,-9.4895,78.66,80,80,1.14,light rain
329,Mangrol,IN,21.1167,70.1167,79.86,64,16,10.42,few clouds
330,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,75,9.22,broken clouds
